URI|PROPERTY|ENGLISH
http://snomed.info/id/185485004|http://www.w3.org/2004/02/skos/core#prefLabel|Orthopaedic outreach clinic
http://snomed.info/id/185486003|http://www.w3.org/2004/02/skos/core#prefLabel|Ophthalmology outreach clinic
http://snomed.info/id/185487007|http://www.w3.org/2004/02/skos/core#prefLabel|Podiatry outreach clinic
http://snomed.info/id/185920002|http://www.w3.org/2004/02/skos/core#prefLabel|Cardiovascular clinic
http://snomed.info/id/18710005|http://www.w3.org/2004/02/skos/core#prefLabel|Underwater habitat
http://snomed.info/id/19602009|http://www.w3.org/2004/02/skos/core#prefLabel|Fee-for-service private physicians' group office
http://snomed.info/id/19602009|http://www.w3.org/2004/02/skos/core#altLabel|Fee-for-service private physicians' group clinic
http://snomed.info/id/20078004|http://www.w3.org/2004/02/skos/core#prefLabel|Substance abuse treatment centre
http://snomed.info/id/20078004|http://www.w3.org/2004/02/skos/core#altLabel|Drug abuse treatment center
http://snomed.info/id/20078004|http://www.w3.org/2004/02/skos/core#altLabel|Drug abuse treatment centre
http://snomed.info/id/20316001|http://www.w3.org/2004/02/skos/core#prefLabel|Tertiary care hospital
http://snomed.info/id/2081004|http://www.w3.org/2004/02/skos/core#prefLabel|Hospital ship
http://snomed.info/id/216312009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning
http://snomed.info/id/216313004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, home
http://snomed.info/id/216314005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, residential flat
http://snomed.info/id/216315006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, boarding house
http://snomed.info/id/216316007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, farm house
http://snomed.info/id/216317003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, home premises
http://snomed.info/id/216318008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, residential house
http://snomed.info/id/216319000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, noninstitutional place of residence
http://snomed.info/id/216320006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, private driveway
http://snomed.info/id/216321005|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, private garage
http://snomed.info/id/216322003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, private garden
http://snomed.info/id/216323008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, private home
http://snomed.info/id/216324002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, private walk
http://snomed.info/id/216326000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, private swimming pool
http://snomed.info/id/216327009|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, yard of home
http://snomed.info/id/216329007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, farm
http://snomed.info/id/216330002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, farm building
http://snomed.info/id/216331003|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, farm land
http://snomed.info/id/216333000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, mine or quarry
http://snomed.info/id/216334006|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, gravel pit
http://snomed.info/id/216335007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, sand pit
http://snomed.info/id/216336008|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, tunnel under construction
http://snomed.info/id/216339001|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, industrial place and premises
http://snomed.info/id/216340004|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, building under construction
http://snomed.info/id/216341000|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, dockyard
http://snomed.info/id/216342007|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, dry dock
http://snomed.info/id/216343002|http://www.w3.org/2004/02/skos/core#prefLabel|Place of occurrence of accident or poisoning, factory building
